LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.400, Time: 5.920262 s
         1506050 function calls (1488991 primitive calls) in 16.236 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.001    0.000    0.021    0.001 rcsetup.py:677(cycler)
        1    0.000    0.000    0.020    0.020 backend_tools.py:1(<module>)
        1    0.000    0.000    0.020    0.020 tz.py:1(<module>)
        1    0.001    0.001    0.020    0.020 axes3d.py:41(Axes3D)
      314    0.001    0.000    0.020    0.000 typing.py:730(<genexpr>)
        1    0.001    0.001    0.020    0.020 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.019    0.019 lzma.py:1(<module>)
     1574    0.011    0.000    0.019    0.000 typing.py:1215(__setattr__)
      642    0.009    0.000    0.019    0.000 <frozen importlib._bootstrap>:124(setdefault)
        7    0.001    0.000    0.019    0.003 enum.py:862(_create_)
      233    0.009    0.000    0.018    0.000 typing.py:262(_collect_parameters)
     1248    0.002    0.000    0.018    0.000 <frozen abc>:117(__instancecheck__)
     78/4    0.004    0.000    0.018    0.005 core.py:1083(_parseCache)
        1    0.000    0.000    0.018    0.018 secrets.py:1(<module>)
        1    0.000    0.000    0.018    0.018 decimal.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _tripcolor.py:1(<module>)
     8527    0.013    0.000    0.018    0.000 _parser.py:168(__getitem__)
     4584    0.015    0.000    0.018    0.000 {built-in method builtins.sorted}
      356    0.004    0.000    0.018    0.000 inspect.py:801(_finddoc)
      344    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       24    0.000    0.000    0.018    0.001 typing.py:1288(__or__)
       24    0.008    0.000    0.017    0.001 util.py:242(_collapse_string_to_ranges)
     5540    0.017    0.000    0.017    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.017    0.017 colorizer.py:1(<module>)
       14    0.000    0.000    0.017    0.001 hashlib.py:126(__get_openssl_constructor)
    11968    0.017    0.000    0.017    0.000 {method 'get' of 'dict' objects}
     6459    0.011    0.000    0.017    0.000 _parser.py:261(get)
     1248    0.003    0.000    0.017    0.000 {built-in method _abc._abc_instancecheck}
      443    0.016    0.000    0.016    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.016    0.016 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _globals.py:1(<module>)
      116    0.001    0.000    0.016    0.000 <frozen abc>:105(__new__)
      230    0.003    0.000    0.016    0.000 overrides.py:85(verify_matching_signatures)
      602    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        6    0.004    0.001    0.015    0.003 getlimits.py:36(__init__)
        1    0.000    0.000    0.015    0.015 version.py:310(Version)
        1    0.000    0.000    0.015    0.015 LebwohlLasher.py:94(savedat)
        1    0.000    0.000    0.015    0.015 expat.py:1(<module>)
      448    0.006    0.000    0.015    0.000 enum.py:1561(__and__)
 1703/193    0.002    0.000    0.015    0.000 <frozen abc>:121(__subclasscheck__)
      301    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.015    0.015 numeric.py:1(<module>)
      642    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
 1703/193    0.013    0.000    0.015    0.000 {built-in method _abc._abc_subclasscheck}
      701    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
      220    0.001    0.000    0.014    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.014    0.014 scimath.py:1(<module>)
    10383    0.014    0.000    0.014    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.014    0.007 hashlib.py:82(__get_builtin_constructor)
       15    0.000    0.000    0.014    0.001 core.py:1770(__or__)
        1    0.000    0.000    0.013    0.013 datetime.py:1(<module>)
 1418/446    0.010    0.000    0.013    0.000 _parser.py:178(getwidth)
     5508    0.009    0.000    0.013    0.000 {built-in method builtins.setattr}
    32311    0.013    0.000    0.013    0.000 {built-in method builtins.callable}
      642    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap>:372(release)
       15    0.000    0.000    0.013    0.001 core.py:4838(__init__)
        1    0.000    0.000    0.013    0.013 printoptions.py:1(<module>)
      344    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.013    0.013 _type_check_impl.py:1(<module>)
        1    0.000    0.000    0.013    0.013 decoder.py:1(<module>)
        1    0.000    0.000    0.013    0.013 socket.py:1(<module>)
        1    0.000    0.000    0.012    0.012 heapq.py:1(<module>)
        1    0.000    0.000    0.012    0.012 ExifTags.py:21(Base)
       95    0.012    0.000    0.012    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.012    0.012 base64.py:1(<module>)
  278/178    0.001    0.000    0.012    0.000 core.py:2174(name)
   274/19    0.002    0.000    0.012    0.001 ast.py:403(visit)
      301    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
       22    0.000    0.000    0.012    0.001 core.py:5936(parseImpl)
  208/115    0.001    0.000    0.011    0.000 core.py:2127(default_name)
       22    0.000    0.000    0.011    0.001 core.py:5663(parseImpl)
      229    0.002    0.000    0.011    0.000 typing.py:1174(__init__)
   274/19    0.004    0.000    0.011    0.001 ast.py:409(generic_visit)
        1    0.000    0.000    0.011    0.011 bisect.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _mathtext.py:1808(Parser)
        1    0.000    0.000    0.011    0.011 core.py:397(ParserElement)
      445    0.004    0.000    0.011    0.000 copy.py:247(_reconstruct)
       44    0.000    0.000    0.011    0.000 core.py:4843(<genexpr>)
        3    0.000    0.000    0.011    0.004 patches.py:2293(__init_subclass__)
      363    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:420(__exit__)
     2804    0.003    0.000    0.011    0.000 _parser.py:164(__len__)
        6    0.000    0.000    0.011    0.002 patches.py:2335(pprint_styles)
        1    0.000    0.000    0.011    0.011 ipaddress.py:1(<module>)
     9256    0.011    0.000    0.011    0.000 {method 'rstrip' of 'str' objects}
